101,12,60,3,0,U,1,153176.07
102,12,60,3,0,S,1,14626.98,0,0,0,1,0,1,0,0,0,0,0,0
103,12,60,3,0,U,1,144648.08
104,12,60,3,0,S,1,79792.98,0,1,1,1,0,0,0,1,1,0,0,0
105,12,60,3,0,U,1,130323.17
106,12,60,3,0,U,1,146378.99
107,12,60,3,0,U,1,136317.01
108,12,60,3,0,U,1,152450.80
109,12,60,3,0,S,1,69970.13,1,0,0,0,0,0,0,0,0,1,0,0
110,12,60,3,0,U,1,146510.84
111,16,80,3,0,U,1,2574571.13
112,16,80,3,0,S,1,796163.80,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
113,16,80,3,0,U,1,2406073.09
114,16,80,3,0,U,1,2412420.99
115,16,80,3,0,U,1,2252048.97
116,16,80,3,0,U,1,2571069.96
117,16,80,3,0,U,1,2702204.94
118,16,80,3,0,U,1,2346707.82
119,16,80,3,0,U,1,2395949.84
120,16,80,3,0,S,1,148718.12,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1
121,18,90,3,0,U,1,10559704.07
122,18,90,3,0,U,1,10512731.79
123,18,90,3,0,U,1,11773622.04
124,18,90,3,0,U,1,9863171.82
125,18,90,3,0,U,1,9988292.93
126,18,90,3,0,S,1,1264178.04,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
127,18,90,3,0,S,1,650023.94,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
128,18,90,3,0,S,1,7033365.96,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1
129,18,90,3,0,U,1,8915415.05
130,18,90,3,0,S,1,4833581.92,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
131,20,100,3,0,S,1,34903296.95,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1
132,20,100,3,0,U,1,35714443.92
133,20,100,3,0,S,1,21041671.99,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0
134,20,100,3,0,U,1,41631778.00
135,20,100,3,0,S,1,38150475.03,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
136,20,100,3,0,U,1,40691324.95
137,20,100,3,0,U,1,44021358.01
138,20,100,3,0,S,1,21488746.88,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
139,20,100,3,0,U,1,41652235.03
140,20,100,3,0,U,1,43535756.11
141,22,110,3,0,S,1,156257506.13,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
142,22,110,3,0,S,1,13959068.06,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
143,22,110,3,0,U,1,184001284.84
144,22,110,3,0,U,1,177908606.05
145,22,110,3,0,U,1,163040457.01
146,22,110,3,0,U,1,171481716.87
147,22,110,3,0,U,1,204191867.83
148,22,110,3,0,U,1,195949177.03
149,22,110,3,0,S,1,148967461.11,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0
150,22,110,3,0,S,1,24032113.08,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
151,24,120,3,0,U,1,739846633.91
152,24,120,3,0,U,1,616
